subject_id,scenario_label,closeness_condition,action_0,action_1,action_2,action_3
64a338ca-faca-553e-974f-3777e46dc0b7,brunch,not_close,3,4,5,4
64a338ca-faca-553e-974f-3777e46dc0b7,drinks,somewhat_close,5,4,2,4
64a338ca-faca-553e-974f-3777e46dc0b7,fair,close,3,4,3,2
64a338ca-faca-553e-974f-3777e46dc0b7,soup,close,5,1,1,1
64a338ca-faca-553e-974f-3777e46dc0b7,conference,somewhat_close,4,4,3,0
64a338ca-faca-553e-974f-3777e46dc0b7,crabs,somewhat_close,1,5,1,0
64a338ca-faca-553e-974f-3777e46dc0b7,social,not_close,4,3,1,0
64a338ca-faca-553e-974f-3777e46dc0b7,hike,not_close,5,4,1,0
64a338ca-faca-553e-974f-3777e46dc0b7,gala,not_close,5,1,1,0
64a338ca-faca-553e-974f-3777e46dc0b7,dip,close,5,5,4,0
64a338ca-faca-553e-974f-3777e46dc0b7,oysters,extremely_close,3,5,3,2
64a338ca-faca-553e-974f-3777e46dc0b7,driving,close,5,5,3,1
64a338ca-faca-553e-974f-3777e46dc0b7,basketball,extremely_close,4,4,1,1
64a338ca-faca-553e-974f-3777e46dc0b7,cooking,extremely_close,0,6,5,3
64a338ca-faca-553e-974f-3777e46dc0b7,wedding,somewhat_close,5,4,3,2
64a338ca-faca-553e-974f-3777e46dc0b7,birthday,extremely_close,4,6,5,3
a8d798dc-b3f3-5fcd-952a-11018a266734,conference,somewhat_close,3,5,5,1
a8d798dc-b3f3-5fcd-952a-11018a266734,gala,extremely_close,4,4,5,5
a8d798dc-b3f3-5fcd-952a-11018a266734,brunch,somewhat_close,3,4,4,2
a8d798dc-b3f3-5fcd-952a-11018a266734,social,not_close,1,1,1,0
a8d798dc-b3f3-5fcd-952a-11018a266734,fair,extremely_close,3,5,5,5
a8d798dc-b3f3-5fcd-952a-11018a266734,crabs,close,1,5,2,3
a8d798dc-b3f3-5fcd-952a-11018a266734,dip,close,3,3,3,2
a8d798dc-b3f3-5fcd-952a-11018a266734,cooking,somewhat_close,2,5,2,1
a8d798dc-b3f3-5fcd-952a-11018a266734,drinks,close,4,5,3,3
a8d798dc-b3f3-5fcd-952a-11018a266734,wedding,not_close,5,2,2,1
a8d798dc-b3f3-5fcd-952a-11018a266734,oysters,extremely_close,3,4,3,3
a8d798dc-b3f3-5fcd-952a-11018a266734,hike,extremely_close,2,5,3,2
a8d798dc-b3f3-5fcd-952a-11018a266734,birthday,somewhat_close,4,5,4,3
a8d798dc-b3f3-5fcd-952a-11018a266734,soup,not_close,6,1,1,1
a8d798dc-b3f3-5fcd-952a-11018a266734,basketball,not_close,4,2,1,1
a8d798dc-b3f3-5fcd-952a-11018a266734,driving,close,1,5,4,3
c8c31edd-db4d-5a8b-8451-3c8183bed401,basketball,close,5,5,4,2
c8c31edd-db4d-5a8b-8451-3c8183bed401,wedding,not_close,5,1,1,1
c8c31edd-db4d-5a8b-8451-3c8183bed401,cooking,extremely_close,2,5,5,4
c8c31edd-db4d-5a8b-8451-3c8183bed401,oysters,extremely_close,2,4,4,4
c8c31edd-db4d-5a8b-8451-3c8183bed401,social,extremely_close,4,2,4,5
c8c31edd-db4d-5a8b-8451-3c8183bed401,birthday,close,2,5,4,4
c8c31edd-db4d-5a8b-8451-3c8183bed401,drinks,somewhat_close,5,2,2,2
c8c31edd-db4d-5a8b-8451-3c8183bed401,fair,close,4,5,2,4
c8c31edd-db4d-5a8b-8451-3c8183bed401,conference,not_close,5,2,2,2
c8c31edd-db4d-5a8b-8451-3c8183bed401,hike,extremely_close,2,5,4,5
c8c31edd-db4d-5a8b-8451-3c8183bed401,gala,not_close,5,1,1,1
c8c31edd-db4d-5a8b-8451-3c8183bed401,dip,somewhat_close,2,2,2,2
c8c31edd-db4d-5a8b-8451-3c8183bed401,crabs,somewhat_close,4,2,2,2
c8c31edd-db4d-5a8b-8451-3c8183bed401,soup,somewhat_close,4,5,4,2
c8c31edd-db4d-5a8b-8451-3c8183bed401,driving,close,2,5,4,4
c8c31edd-db4d-5a8b-8451-3c8183bed401,brunch,not_close,5,1,1,1
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,conference,close,3,4,5,3
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,dip,close,5,5,6,4
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,cooking,close,2,4,5,3
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,soup,not_close,2,4,4,4
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,hike,not_close,4,2,5,4
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,social,not_close,4,2,4,4
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,fair,extremely_close,4,5,1,5
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,brunch,somewhat_close,3,4,5,3
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,driving,extremely_close,1,6,5,3
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,oysters,not_close,6,2,2,4
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,birthday,somewhat_close,1,4,5,4
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,crabs,close,4,4,4,5
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,basketball,somewhat_close,3,4,4,3
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,gala,extremely_close,1,4,5,4
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,wedding,somewhat_close,2,4,5,5
bb1c6404-d3e0-5db8-b385-1e7026b4ba50,drinks,extremely_close,1,6,3,4
1dd602cb-29d6-503f-b2a7-970fc1cdb058,birthday,not_close,6,4,0,0
1dd602cb-29d6-503f-b2a7-970fc1cdb058,fair,close,2,4,5,4
1dd602cb-29d6-503f-b2a7-970fc1cdb058,wedding,not_close,6,2,1,0
1dd602cb-29d6-503f-b2a7-970fc1cdb058,drinks,close,2,5,0,1
1dd602cb-29d6-503f-b2a7-970fc1cdb058,oysters,extremely_close,0,4,5,6
1dd602cb-29d6-503f-b2a7-970fc1cdb058,gala,extremely_close,1,6,6,4
1dd602cb-29d6-503f-b2a7-970fc1cdb058,social,extremely_close,2,5,5,4
1dd602cb-29d6-503f-b2a7-970fc1cdb058,cooking,somewhat_close,2,4,6,4
1dd602cb-29d6-503f-b2a7-970fc1cdb058,crabs,somewhat_close,2,5,3,2
1dd602cb-29d6-503f-b2a7-970fc1cdb058,soup,not_close,6,0,0,0
